AM,1,ACOSTA. MIGUEL M.,people
AL,2,AGUILAR. LUIS A.,people
AU,3,ALATRISTE. URIEL,people
AF,4,ALBISTEGUI. FRANCISCO,people
AF,5,ALCERRECA. FELIZ M.,people
AL,6,ALCOLEA. LEANDRO M.,people
AG,7,AL OOSORO. GREGORIO,people
AJ,8,ALGARA. JAVIER,people
AM,9,ALGQRA. MANUEL,people
AP,10,ALMAZA. PAULINE),people
AE,11,ALVAREZ. EMILIO,people
AA,12,ALVAREZ. JOSE ANTONXO,people
AI,13,ALVAREZ. JOSE IGNACIO,people
AL,14,ALVAREZ. LUIS,people
AM,15,AMADOR . MANUEL,people
AF,16,ARELLANO. FELIPE,people
AJ,17,ARELLANO. JESUS,people
AD,18,ARGMDO. JUAN D.,people
AO,19,ARGUELLO. JESUS O.,people
AR,20,AQXZPE RAMOS. RAFAEL/ARIZPE. RAFAEL,people
AC,21,ARRIAGA. CAMILO,people
AD,22,ARRIQJA. DELFIND,people
AE,23,AFRICJA. EDUARDO,people
AA,24,ARROYO OE ANDA. AGUSTIN,people
AE,25,ARTEAGA. EDUARDO J.,people
AM,26,AUZA. MANUEL,people
AM,27,ALFALOS. MIGUEL VA,people
AP,28,AZCUE. PEDRO DE,people
AM,29,ANORADE. MANUEL,people
BD,30,BALANDRANO. DARIO,people
BJ,31,BAQUEIRO. JOSE CLOTILDE,people
BD,32,BARREDA. JOAQUIN DE LA,people
BM,33,BARREIRO. MANUEL,people
BG,34,BARRIOS GOMEZ. DOMINGO,people
BP,35,BENIYEZ . PRISCILIANO M.,people
SF,36,BARROSO. FRANCISCO D.,people
BT,37,BARROSO. TELESFORO,people
BE,38,BAZ. EMILIO,people
SP,39,BETITEZ. PRISCILIANO M.,people
BA,40,BERLANGA. ARNULFO,people
BB,41,BOLANOS. BENJAMIN,people
BC,42,BOLANOS CACHO. MIGUEL,people
BM,43,BONAVIDES. MARIANO,people
BB,44,BRAVO. BERNABE,people
BS,45,BRXBIESCA SAAVEDRA. JOSE,people
BF,46,BULNES. FRANCISCO,people
BJ,47,BERRIOZABAL. JUAN,people
CL,48,CABALLERO. LUIS G.,people
CM,49,CADENA MARIN. AURELIO,people
CA,50,CALDERON. ARISTEO,people
CD,51,CANALE. AURELIO D.,people
CI,52,CANSECO. IGNACID,people
CF,53,CANTON. FELIPE G.,people
CR,54,CANTON ROSADO. FRANCISCO,people
CI,55,CAPETILLO. IGNACIO,people
CS,56,CARBAJAL Y SERRANO. BARTOLOME,people
CM,57,CARDENAS. NELCHOR G.,people
CA,58,CARPIO. ANGEL,people
CV,59,CARRANZA. VENUSTIANO,people
CF,60,CARRERE. FRANCISCO J.,people
CA,61,CARRILLO ANTILLON. MANUEL,people
CL,62,CARRILLO. LAURO,people
CJ,63,CASARIN. JOSE,people
CC,64,CASASUS. CARLOS,people
CJ,65,CASASUS. JOAQUIN D.,people
CR,66,CASCO. RAFAEL,people
CJ,67,CASILLAS. JOSE ANA,people
CM,68,CASTELLANOS. JOSE MARIA,people
CN,69,CASTELLANOS. JUAN N.,people
CJ,70,CASTELLOT (BATALLA). JOSE,people
CB,71,CASTELLO. JUAN B.,people
CI,72,CASTILLO. IGNACIO M. DEL,people
CV,73,CASTILLO. VICTOR MANUEL,people
CE,74,CASTILLO DEL VALLE. EDUARDO,people
CC,75,CEBALLOS. CELSD G.,people
CL,76,CEJUOO. LAURO,people
CJ,77,CERDA. JESUS M.,people
CE,78,CERVANTES. EUTIMIO,people
CM,79,CERVANTES. MANUEL,people
CD,80,CONTRERAS. DIODORO,people
CR,81,CORONA (MAC ENTEE). RAMON,people
CF,82,COSNES. FRANCISCO,people
CM,83,CRESPO Y MARTINEZ. GILBERTO,people
CA,84,CRUZ MARTINEZ. ANDRES,people
CH,85,CHAVERO. ALFREDO,people
CE,86,CHAVERO. ERNESTO,people
CA,87,CHAVEZ. EZEQUIEL A.,people
CC,88,CHICO. CARLOS,people
CJ,89,CHOUSAL. JUAN DE D.,people
CR,90,CHOUSAL. RAFAEL,people
DD,92,DIAZ DUFOO. CARLOS,people
DF,93,DIAZ. FELIX,people
DM,94,DIAZ M. FLORENTINO,people
DL,95,DIAZ DE LEON. JESUS,people
DR,97,DIAZ RUGAMA. ADOLFO,people
DM,98,DIAZ MIRON. SALVADOR,people
DG,99,DIAZ GUTIERREZ. JOSE,people
DA,100,DOMINGUEZ. ABELARDO,people
DM,101,DOMINGUEZ. ANGEL M.,people
DE,102,DOMINGUEZ ELIZALDE. MANUEL,people
DM,103,DOMINGUEZ. MANUEL,people
DP,104,DOMINGUEZ Y PEON. JOSE,people
UV,105,DOMINGUEZ VILLARREAL. ANTONIO,people
BS,106,DONDE. SALVADOR,people
DM,107,DORIA. MANUEL Z.,people
DE,108,DUBLAN. EDUARDO,people
DJ,109,DUBLAN. JUAN,people
SF,110,ECHEVERRIA. FRANCISCO DE P.,people
EA,111,ELGUEZABAL. ALEJANDRO,people
EL,112,ELIZAGA. LORENZO,people
EE,113,ENRIOUEZ. ERNESTO,people
EM,114,ESCANDON. MANUEL G.,people
EB,115,ESCANDON Y BARRON. PABLO,people
EM,116,ESCOBAR. MANUEL,people
EM,117,ESCOBEDO. MARIANO,people
EH,118,ESCOBEDO. MARIANO (H),people
EB,119,ESCONTRIA. BLAS,people
EJ,120,ESCOTO. JOAQUIN M.,people
EI,121,ESCUDERO. IGNACIO M.,people
EG,122,ESPINOSA. GONZALO,people
EF,123,ESPINOSA. FRANCISCO,people
